MATAMOROS	DETENTION / LIC / OCCUPANT / DIARIO / DIST / TEXAS / ACCIDENT / COUNS / BRIDGE / MOON
MAZATLAN	CONSUL / CONSULATE / MEXICO / CONOFF / ACCOUNT / PRISONER / CONSULAR / ATTORNEY / HUNDRED / POLICE
MBABANE	SWAZI / AFRICA / MINISTER / AFRICAN / LANE / PRIME / MOZAMBIQUE / CHARGE / UNHCR / REFUGEE
MEDAN	MOBIL / INDONESIAN / BECHTEL / JAKARTA / INCIDENT / ISLAM / INDONESIA / MUSLIM / COMMAND / CONSULATE
MEDELLIN	COLOMBIA / REPLY / GOVERNMENT / CONSULATE / PRIVATE / CABLE / TRADE / COPY / OPPORTUNITY / TENDER
MELBOURNE	AUSTRALIA / AUSTRALIAN / BRAND / POST / CONGEN / LABATT / GENERAL / LABOR / TRADE / UNION
MERIDA	MINUS / EXEMPTION / SYMBOL / ATTN / TRUST / SHRIMP / NAME / MEXICO / AIRPLANE / CHECK
MEXICALI	GEOTHERMAL / CERRO / BANNER / GIST / CRUZ / PASO / LIC / EDITION / DEDICATION / RECLAMATION
MEXICO	MEXICO / MEXICAN / GOM / EMBASSY / GENERAL / CITY / PRESIDENT / ATTORNEY / DIRECTOR / ONE
MILAN	PARTY / ITALIAN / ITALY / PSI / GOVERNMENT / ONE / LOCAL / CITY / SHOW / NATIONAL
